,Player 1,Player 2,1,X,2,1X,12,X2,Hcap.,1*,Hcap.*,2*,Total,O,U,Extras
0,BSV Schueren,Hombrucher,,,,,,,-3.5,1.60,+3.5,2.20,4.5,2.15,1.62,+7
1,Roda,FC Eindhoven,2.10,3.55,3.10,1.32,1.25,1.65,-1.5,4.10,+1.5,1.20,2.5,1.98,1.72,+202
2,Liepaja,FC Riga,,,,,,,+2.5,1.55,-2.5,2.25,4.5,1.48,2.45,+64
3,Asker U19,Oppsal U19,2.70,4.50,2.07,1.67,1.16,1.40,+1.5,1.25,-1.5,3.50,4.5,1.97,1.73,+52
4,Kvik Halden,Valerenga-2,,,,,,,-3.5,1.95,+3.5,1.75,4.5,2.70,1.40,+63
5,Univers. Craiova CS,Cfr Cluj,4.70,2.20,2.50,1.50,1.63,1.17,+1.5,1.08,-1.5,7.20,3.5,2.60,1.45,+112
6,IF Elfsborg,Sirius IK,2.65,2.15,4.40,1.19,1.65,1.45,-1.5,7.10,+1.5,1.08,6.5,1.42,2.75,+88
7,Norrkoping IFK,Mjallby AIF,2.12,2.17,7.40,1.07,1.65,1.68,-1.5,5.90,+1.5,1.11,2.5,1.47,2.60,+89
8,IK Brage,Trelleborg FF,,,,,,,-3.5,3.40,+3.5,1.30,3.5,1.65,2.17,+68
9,Orgryte,Vasteras,19.00,4.70,1.25,3.75,1.17,,+1.5,1.35,-1.5,3.05,1.5,1.55,2.35,+116
10,Ramtha SC,Al Ahli,1.58,2.80,11.50,1.01,1.38,2.25,-1.5,3.30,+1.5,1.28,3.5,2.15,1.63,+90
11,Zelenie Berety,Ryzhiye Lisy,2.15,3.30,3.20,1.30,1.29,1.62,0,1.57,0,2.25,7.5,2.25,1.57,+18
12,Urozhaynaya,University,3.65,1.55,6.20,1.09,2.30,1.25,0,1.50,0,2.45,6.5,2.08,1.65,
13,Gazprom Minsk,Orbita Minsk,,,,,,,,,,,3.5,4.40,1.17,+2
14,Eskilstuna (w),Uppsala (w),13.00,6.80,1.17,4.40,1.07,,+1.5,1.72,-1.5,2.00,5.5,2.65,1.42,+71
15,Kopparbergs/Goteborg(w),Linkoping (w),,,,,,,-2.5,1.88,+2.5,1.88,3.5,2.45,1.50,+83
16,Kostin (NFC) Chelsea,Zaporozhets (VEG) Bayern M,,,,,,,,,,,,,,
17,Barcelona (Inquisitor),Man. City (dm1trena),4.80,1.48,5.00,1.13,2.45,1.15,0,1.80,0,1.90,0.5,2.20,1.60,+38
18,Argentina (Raiden),England (Black),3.00,2.25,3.30,1.30,1.57,1.35,0,1.77,0,1.93,5.5,2.50,1.45,+7
19,Italy (Wizard),France (Tekashi),,,,,,,+2.5,1.35,-2.5,2.95,8.5,1.70,2.02,
20,Spain (Zayn),Netherlands (Leo),,,,,,,-1.5,1.42,+1.5,2.65,2.5,1.55,2.30,
21,Udinese (Olom),Sassuolo (Bobby),,,,,,,,,,,,,,
22,Sampodria (Spursmax),Fiorentina (Stdm),,,,,,,-3.5,5.80,+3.5,1.10,3.5,3.25,1.30,
23,LAZIO (SPECIALIST),Juventus (Unknown),,,,,,,,,,,,,,
24,Carolina Hurricanes,NY Rangers,1.03,,,,,13.00,-2.5,2.25,+2.5,1.60,5.5,3.15,1.35,+50
25,Molotoboytsy,Chetyre Ledokola,5.10,3.70,1.67,2.15,1.25,1.15,+1.5,1.40,-1.5,2.90,5.5,1.93,1.82,+45
26,Energetik Minsk,Epam Ice Needles-2,1.45,6.10,4.50,1.16,1.09,2.55,-1.5,1.73,+1.5,2.00,7.5,2.12,1.64,+127
27,Les Canadiens de Montréal (fine_oxtail3),Florida Panthers (aa0912200),2.50,2.70,3.15,1.30,1.40,1.47,-1.5,5.90,+1.5,1.10,9.5,2.05,1.68,+54
28,Miami Heat,Toronto Raptors,2.70,,1.47,,,,+4.5,1.95,-4.5,1.85,208.5,1.90,1.90,+24
29,Barcelona (Fosters23),Milan (mrPanda),2.75,,1.39,,,,+5.5,1.83,-5.5,1.87,110.5,1.78,1.92,+2
30,Vostok 121,VSS,9.00,,1.03,,,,+17.5,1.87,-17.5,1.83,160.5,1.90,1.80,+14
31,Minyor 2015,North West-Global Test,1.23,,3.70,,,,-7.5,1.85,+7.5,1.85,187.5,1.87,1.83,+8
32,Nemuno Banga KK,VK Vilnius,1.05,,7.77,,,,-17.5,1.87,+17.5,1.83,131.5,1.83,1.87,+6
33,Dallas Mavericks (Shiva),Philadelphia 76 (Spenish),1.24,,3.60,,,,-7.5,1.80,+7.5,1.90,109.5,1.85,1.85,+6
34,GS Warriors (bad_trip),Toronto Rap. (SLAMDUNKVV),1.65,,2.10,,,,-2.5,1.87,+2.5,1.83,124.5,1.87,1.83,+6
35,Denver Nugget (Milla),San Antonio Spurs (Potter),3.90,,1.21,,,,+10.5,1.87,-10.5,1.83,203.5,1.83,1.87,+6
36,Indiana Pacers (Sphynx),Golden State Warriors (Harden),2.36,,1.52,,,,+3.5,1.85,-3.5,1.85,173.5,1.85,1.85,+6
37,Portland Trail Blazers (Lily),Utah Jazz (Jasmine),4.90,,1.14,,,,+9.5,1.83,-9.5,1.87,180.5,1.85,1.85,+6
38,Minnesota Timberwolves (Allka),Miami Heat (Elsa),3.70,,1.23,,,,+7.5,1.85,-7.5,1.85,203.5,1.87,1.83,+6
39,New Orleans Pelicans (mcdonals999),San Antonio Spurs (nikitos349),1.55,,2.30,,,,-2.5,1.90,+2.5,1.80,133.5,1.76,1.94,+6
40,DIVIZON,Team Secret,,10.50,1.03,,,,,,,,,,,+13
41,KWK,Mouseplayz,1.60,4.30,4.20,,,,-2.5,1.92,+2.5,1.78,11.5,2.15,1.63,+15
42,Oldenburg Avengers,Ahoi Bois,,,,,,,,,,,,,,
43,Игра 2. Oldenburg Avengers,Ahoi Bois,2.65,3.70,2.30,1.55,1.23,1.42,0,2.00,0,1.72,3.5,2.25,1.57,+18
0,Manchester United,LASK Linz,1.33,5.30,9.00,1.06,1.16,3.30,-1.5,1.90,+1.5,1.90,3.5,2.40,1.58,+276
1,Internazionale Milano,Getafe,1.75,3.45,5.20,1.16,1.30,2.10,-1.5,3.35,+1.5,1.33,2.5,2.45,1.55,+282
2,Интер М-Хета. Martinez L,Mata Jaime,3.40,1.65,5.50,1.11,2.10,1.27,0,1.55,0,2.30,0.5,1.83,1.87,+4
3,Cittadella,Frosinone,2.85,2.85,2.85,1.42,1.42,1.42,-1.5,6.50,+1.5,1.11,2.5,2.35,1.60,+196
4,Finnentrop/Bamenohl,Arpe/Wormbach,1.02,,,,,14.00,,,,,3.5,7.70,1.06,
5,Monheim,Rather SV,5.60,3.25,1.68,2.05,1.30,1.11,+1.5,1.15,-1.5,4.70,3.5,1.40,2.70,+70
6,Germany Grosskrotzenburg,Aschaffenburg,,,,,,,+3.5,1.88,-3.5,1.82,3.5,1.45,2.55,
7,Friesdorf,Engers,,,,,,,+3.5,1.20,-3.5,3.95,5.5,2.05,1.68,+4
8,Wattenscheid 09,Honnepel,,,,,,,-3.5,2.17,+3.5,1.62,3.5,1.58,2.25,
9,SSV Jeddeloh,Atlas Delmenhorst,,,1.03,10.50,,,+1.5,3.15,-1.5,1.30,2.5,1.60,2.20,+7
10,Meerbusch,Kapellen Erft,2.35,1.90,8.00,1.05,1.80,1.53,-1.5,6.60,+1.5,1.07,6.5,1.63,2.15,+10
11,Raq Mons,Tubize,1.27,4.30,18.00,,1.18,3.40,-1.5,3.65,+1.5,1.25,3.5,1.70,2.02,+6
12,Yeg Hassel 1993,Rot-Weiss Mulheim,,,,,,,-2.5,2.60,+2.5,1.43,4.5,1.77,1.93,+12
13,Sterkrade-Nord,Fichte,1.40,4.30,7.10,1.06,1.18,2.75,-1.5,2.45,+1.5,1.48,4.5,1.52,2.35,+2
14,Wormatia Worms,Hessen Dreieich,1.04,11.00,50.00,,1.01,8.50,-2.5,2.30,+2.5,1.55,3.5,1.97,1.73,+92
15,Viktoria 1915 Glesch-Paffe,TUS BW Konigsdorf,6.20,6.40,1.30,3.20,1.08,1.09,+1.5,1.87,-1.5,1.83,6.5,2.15,1.62,+9
16,Crumlin United,Cherry Orchard,1.70,3.35,5.10,1.13,1.28,2.02,-1.5,3.45,+1.5,1.25,3.5,1.60,2.20,+33
17,Liffey Wanderers,Portmarnock FC,1.45,5.10,5.00,1.13,1.13,2.55,-1.5,2.10,+1.5,1.65,3.5,1.60,2.20,+211
18,Bluebell Un,Newbridge T,1.14,7.40,15.00,,1.06,4.90,-1.5,1.58,+1.5,2.20,2.5,1.50,2.40,+114
19,Ballymun United,Killester Donnycarney,4.40,3.30,1.83,1.87,1.30,1.17,+1.5,1.28,-1.5,3.35,1.5,1.60,2.20,+81
20,Maynooth University Town,Malahide Un,2.30,2.80,3.50,1.25,1.38,1.55,-1.5,4.90,+1.5,1.14,1.5,1.80,1.90,+144
21,Portlaoise AFC,Drumcondra,2.25,4.20,2.45,1.48,1.19,1.57,-1.5,3.65,+1.5,1.25,4.5,2.10,1.65,+175
22,Tolka Rovers,Collinstown,2.45,3.75,2.45,1.48,1.23,1.48,-1.5,4.15,+1.5,1.19,2.5,1.55,2.35,+210
23,St. Mochtas,Wayside Celtic,1.33,5.10,7.50,1.06,1.13,3.05,-1.5,1.90,+1.5,1.80,2.5,1.55,2.30,+9
24,Edenderry City,Bangor Celtic,3.45,4.50,1.75,1.95,1.16,1.25,+1.5,1.38,-1.5,2.80,3.5,1.95,1.75,+213
25,Greystones,Swords Celtic,1.78,4.50,3.35,1.28,1.16,1.92,-1.5,2.95,+1.5,1.35,3.5,2.15,1.62,+211
26,Vojvodina,Cukaricki,1.88,3.45,4.10,1.22,1.30,1.88,-1.5,3.45,+1.5,1.30,2.5,1.90,1.85,+203
27,Istra 1961 Pula,Orijent Rijeka,1.88,2.95,5.10,1.15,1.37,1.88,-1.5,3.90,+1.5,1.23,1.5,1.82,1.92,+146
28,Alta U19,Bolstanaes U19,1.27,5.80,8.50,1.04,1.10,3.40,-1.5,1.80,+1.5,1.90,8.5,1.90,1.80,+9
29,Al Hussein,AL Sareeh,1.37,3.90,10.50,1.01,1.20,2.85,-1.5,4.70,+1.5,1.15,1.5,1.70,2.02,+14
30,MAT Tetouan,Raja Casablanca,3.90,2.70,2.20,1.60,1.40,1.20,+1.5,1.15,-1.5,4.80,1.5,1.60,2.20,+177
31,Aguia Maraba,Bragantino PA,22.00,7.50,1.11,5.50,1.06,,+1.5,2.35,-1.5,1.55,2.5,1.82,1.88,+128
32,Concordia Atletico,Tubarao,1.03,13.00,50.00,,,9.00,-2.5,2.30,+2.5,1.55,3.5,2.20,1.60,+142
33,Krasnie Maki,Zelenie Berety,2.40,4.30,2.30,1.55,1.18,1.50,0,1.88,0,1.82,5.5,1.72,2.00,+26
34,Minsk,University,1.14,,,,,4.80,-2.5,2.30,+2.5,1.55,3.5,1.90,1.80,
35,MPR,Mazda,,,,,,,+3.5,1.82,-3.5,1.88,5.5,2.10,1.65,+26
36,Soyuz Minsk,FK Sukharevo,,12.00,,,1.02,,+1.5,2.80,-1.5,1.38,7.5,2.25,1.57,+4
37,Man. City (sane4ek8),Liverpool (Chellovekk),,,,,,,,,,,,,,
38,Arsenal L (FEARGGWP),Tottenham (Flewless_ph.),,,,,,,,,,,,,,
39,US SASSUOLO CALCIO (DEN1BRAVO),UDINESE CALCIO (XHALE),,,,,,,-2.5,2.00,+2.5,1.72,2.5,1.40,2.70,
40,Lazio (Aventon),JUVENTUS (VITO),1.10,,,,,5.80,-1.5,1.82,+1.5,1.88,6.5,2.45,1.48,+7
41,Arizona Coyotes,Nashville Predators,2.05,4.40,2.85,1.40,1.19,1.73,-1.5,3.10,+1.5,1.35,5.5,1.85,1.90,+167
42,Meteor Minsk,Patriot-2 Minsk,10.00,3.50,1.45,2.55,1.25,1.02,0,6.20,0,1.09,3.5,1.60,2.20,+20
43,SAN JOSE SHARKS (KEKS),DETROIT RED WINGS (SUPERNOVA),,,,,,,+4.5,1.80,-4.5,1.90,6.5,1.80,1.90,+61
44,Uta Jazz,Memphis Grizzlies,1.57,,2.41,,,,-3.5,1.90,+3.5,1.90,221.5,1.93,1.87,+24
45,Zenit Spb (JoKeR),Baskonia (Fosters23),3.25,,1.29,,,,+5.5,1.87,-5.5,1.83,93.5,1.83,1.87,+6
46,Garde Marin,Rakurs,,,,,,,-5.5,1.80,+5.5,1.90,143.5,1.90,1.80,+2
47,Phantoms,Palyacite,,,,,,,-5.5,1.92,+5.5,1.78,128.5,1.87,1.83,+2
48,Sucre,Las Ferias,,,,,,,,,,,,,,
49,Portland Trail Bl. (SHIVA),Atlanta Hawks(iamdevilwalk,8.30,,1.04,,,,+13.5,1.83,-13.5,1.87,101.5,1.85,1.85,+6
50,Toronto Raptors (BEPADO),Boston Celtics(SLAMDUNKVV),3.15,,1.31,,,,+5.5,1.87,-5.5,1.83,120.5,1.85,1.85,+6
