0,Islotch Minsk,Shakhter Soligorsk,2.18,3.20,3.55,1.30,1.35,1.68,-1.5,5.70,+1.5,1.14,2.5,1.75,2.10,+176
1,Dynamo Kiev,Olimpic Donetsk,,,,,,,-2.5,2.65,+2.5,1.48,4.5,1.92,1.88,+26
2,Sumqayit,Keshla,4.30,2.30,2.40,1.50,1.55,1.18,+1.5,1.07,-1.5,6.70,1.5,2.45,1.48,+130
3,Mezokovesd-Zsory,Zalaegerszegi Te,5.30,3.60,1.65,2.17,1.27,1.14,+1.5,1.23,-1.5,3.95,2.5,1.92,1.82,+141
4,Nevezis,Zalgiris Kaunas-2,,,,,,,-4.5,2.03,+4.5,1.70,4.5,1.60,2.20,+2
5,Lietava Jonava,BFA Vilnius,1.03,,,,,11.50,-2.5,1.53,+2.5,2.35,3.5,1.60,2.20,+4
6,Belasica Strimica,Shkupi Skopje,5.50,3.45,1.65,2.10,1.25,1.11,+1.5,1.33,-1.5,3.05,1.5,1.65,2.10,+170
7,Marki,Ozarow. Ozarow Mazowiecki,2.45,4.90,2.15,1.62,1.14,1.48,0,1.97,0,1.73,4.5,1.85,1.85,+7
8,Arges Pitesti,Botosani,10.00,4.05,1.40,2.85,1.22,1.03,+1.5,1.55,-1.5,2.35,2.5,1.62,2.20,+184
9,Zeleznicar Pancevo,Zarkovo,1.40,4.00,8.50,1.04,1.20,2.75,-1.5,2.65,+1.5,1.40,2.5,1.90,1.80,+143
10,Stepojevac Vaga,Radnicki Novi Beograd,3.35,3.05,2.20,1.60,1.33,1.28,+1.5,1.14,-1.5,4.90,3.5,1.78,1.92,+125
11,SJK Seinajoki,Honka,3.80,3.30,2.00,1.75,1.30,1.25,+1.5,1.20,-1.5,4.20,2.5,2.25,1.60,+234
12,AC Oulu,EIF,1.65,3.95,4.50,1.16,1.20,2.10,-1.5,2.80,+1.5,1.38,2.5,1.87,1.83,+196
13,Sexy Poxyt,BK-46,1.20,6.20,11.50,1.01,1.09,4.05,-1.5,1.62,+1.5,2.15,5.5,1.92,1.78,+139
14,Futura,Ponnistajat,1.08,10.00,19.00,,1.02,6.50,-2.5,1.65,+2.5,2.10,4.5,1.90,1.80,+38
15,Hrvatski Dragovoljac,Osijek-2,4.20,1.58,4.70,1.15,2.25,1.19,0,1.77,0,1.93,2.5,2.03,1.70,+8
16,Dubrava NK,Dugopolje,2.35,3.05,3.10,1.32,1.33,1.53,-1.5,5.00,+1.5,1.13,2.5,2.30,1.55,+194
17,Frydek-Mistek,Banik Ostrava B,7.30,3.60,1.55,2.35,1.27,1.08,+1.5,1.30,-1.5,3.35,4.5,2.07,1.70,+86
18,Hlucin,Vysocina Jihlava-2,1.32,4.60,9.50,1.02,1.16,3.10,-1.5,2.35,+1.5,1.53,2.5,1.80,1.90,+117
19,Hermanice,Bospor Bohumin,,,1.06,7.50,,,+2.5,1.93,-2.5,1.77,3.5,1.53,2.35,+4
20,Horky Nad Jizerou,Trutnov,2.40,3.95,2.40,1.50,1.20,1.50,-1.5,3.95,+1.5,1.20,3.5,1.90,1.80,+117
21,Banik Ratiskovice,Ivancice,3.00,3.95,2.00,1.72,1.20,1.35,+1.5,1.32,-1.5,3.10,3.5,1.83,1.87,+203
22,El Entag El Harby,ENPPI,22.00,20.00,1.04,9.50,,,+1.5,3.60,-1.5,1.27,2.5,1.95,1.80,+35
23,Pakhtakor,Nasaf Qarshi,,,,,,,-3.5,3.10,+3.5,1.35,5.5,1.85,1.90,+34
24,Ryzhiye Lisy,Zelenie Berety,,,,,,,-3.5,1.41,+3.5,2.70,7.5,2.00,1.72,+12
25,CSKA (w),Ryazan-VDV (w),1.10,6.60,50.00,,1.08,5.80,-1.5,2.90,+1.5,1.35,1.5,1.93,1.77,+8
26,Porto (Pablik),Valencia (Olle),53.00,11.00,1.04,8.50,1.01,,+1.5,3.00,-1.5,1.35,3.5,2.40,1.50,+41
27,Tottenham (BlackStar98),Napoli (Flewless_phoenix),2.85,2.65,2.85,1.37,1.42,1.37,+1.5,1.09,-1.5,6.10,1.5,1.50,2.45,+85
28,Real M (TAKA),Bayern (Chellovekk),3.00,2.75,2.60,1.45,1.40,1.35,+1.5,1.14,-1.5,5.00,2.5,1.90,1.80,+37
29,Spain (Totti),Netherlands (Nrek),1.05,,,,,8.00,-2.5,1.75,+2.5,1.95,4.5,1.80,1.90,
30,Italy (Diablo),France (Archi),1.80,3.55,4.05,1.20,1.25,1.90,0,1.37,0,2.85,1.5,1.48,2.45,
31,Belgium (Tigo),Germany (Harry),1.88,3.45,3.85,1.22,1.25,1.82,0,1.40,0,2.70,4.5,2.05,1.68,
32,Ajax Amsterdam (Den1Bravo),Atalanta (Libra),2.25,2.70,3.70,1.23,1.40,1.57,-1.5,5.30,+1.5,1.12,1.5,1.95,1.75,+67
33,Olympiacos Piraeus (Olom),Lokomotiv Moscow (Vito),3.55,3.65,1.90,1.80,1.25,1.25,+1.5,1.22,-1.5,3.85,5.5,2.20,1.60,+7
34,Galatasaray (Specialist),Benfica (Walker),8.00,4.90,1.32,3.10,1.14,1.05,+1.5,1.60,-1.5,2.20,5.5,2.20,1.60,+7
35,Lokomotiv Yaroslavl,Severstal,1.20,6.10,13.00,1.01,1.11,4.30,-1.5,1.58,+1.5,2.30,5.5,1.95,1.80,+129
36,K-Vantaa,FPS,1.40,5.80,5.30,1.12,1.10,2.75,-1.5,1.70,+1.5,2.02,6.5,2.08,1.65,+115
37,Pyry,Karhu HT,1.30,7.10,5.60,1.11,1.06,3.20,-2.5,1.98,+2.5,1.72,8.5,1.90,1.80,+68
38,Kettera,Yukurit,10.00,4.10,1.35,2.95,1.19,1.02,+1.5,1.70,-1.5,2.02,4.5,1.87,1.83,+108
39,Neftyanik Almetyevsk,Toros,1.45,5.10,5.30,1.12,1.13,2.55,-1.5,1.80,+1.5,1.90,5.5,1.63,2.15,+106
40,Kapitan Stupino,MHK Krylia Sovetov,5.60,2.30,2.15,1.62,1.55,1.11,+1.5,1.23,-1.5,3.70,3.5,1.90,1.80,+66
41,Academy Mikhailova,MHK Atlant,,,,,,,,,,,,,,
42,Ledovyy Desant,Ershistye Tigry,3.45,2.30,2.90,1.40,1.58,1.30,0,2.03,0,1.75,3.5,2.30,1.60,+32
43,Karlovy Vary U20,Kladno U20,14.00,5.70,1.20,4.05,1.10,,+1.5,2.45,-1.5,1.48,8.5,2.30,1.55,+79
44,Havlickov Brod U20,Chrudim U20,,,,,,,-5.5,1.70,+5.5,2.02,11.5,2.10,1.65,+36
45,Hvezda Prague U20,Kolin U20,3.80,4.40,1.70,2.02,1.17,1.22,+1.5,1.63,-1.5,2.15,9.5,1.62,2.15,+50
46,Tappara U20,Assat U20,1.75,5.00,3.25,1.30,1.13,1.95,-1.5,2.35,+1.5,1.52,8.5,2.02,1.70,+64
47,Trebic U20,Warrior Brno U20,2.10,5.20,2.40,1.50,1.13,1.65,-1.5,2.90,+1.5,1.35,7.5,1.80,1.90,+70
48,Pelicans U20,Jokerit U20,2.13,5.00,2.45,1.48,1.13,1.65,-1.5,2.85,+1.5,1.37,5.5,1.80,1.90,+120
