,Unnamed: 0,Player 1,Player 2,1,X,2,1X,12,X2,Hcap.,1*,Hcap.*,2*,Total,O,U,Extras
199,0,Oud Heverlee Leuven,Eupen,,,,,,,,,,,,,,
200,1,TSG Balingen,Pforzheim,,,,,,,-3.5,1.42,3.5,2.65,4.5,2.35,1.53,14.0
201,2,Bottrop 1900,Rentfort,,,,,,,4.5,1.57,-4.5,2.25,6.5,1.42,2.65,7.0
202,3,Adler Berlin-2,Wacker Lankwitz-2,,,,,,,-4.5,2.65,4.5,1.4,4.5,1.6,2.2,7.0
203,4,St. John Bosco,Tolka Rovers,,,,,,,5.5,1.83,-5.5,1.87,6.5,1.6,2.2,59.0
204,5,Templeogue United,Wayside Celtic,2.95,2.75,2.65,1.42,1.4,1.35,1.5,1.11,-1.5,5.7,3.5,1.68,2.05,94.0
205,6,Home Farm,Malahide Un,3.05,3.95,2.0,1.72,1.2,1.33,1.5,1.35,-1.5,2.95,3.5,1.87,1.83,209.0
206,7,Finn Harps,St. Patrick's Athletic,2.02,3.05,3.85,1.22,1.33,1.7,-1.5,5.7,1.5,1.1,2.5,1.8,1.9,154.0
207,8,Molde,Brann,1.5,4.1,6.3,1.1,1.22,2.5,-1.5,2.35,1.5,1.57,4.5,1.8,1.95,169.0
208,9,Kungsangens IF,Skiljebo,,,1.02,14.0,,,3.5,1.77,-3.5,1.93,5.5,2.2,1.6,52.0
209,10,Al Faisaly,Al Hussein,2.0,2.2,7.6,1.05,1.6,1.72,-1.5,5.5,1.5,1.11,2.5,1.43,2.65,81.0
210,11,Al Jazeera,Al Acaba,1.02,,,,,15.0,-2.5,3.0,2.5,1.35,2.5,1.78,1.92,62.0
211,12,Al Hilal Riyadh,Al Fateh,1.1,7.6,22.0,,1.05,5.8,-1.5,1.57,1.5,2.25,2.5,1.62,2.15,108.0
212,13,Al Wahda,Al Majd,1.13,6.4,27.0,,1.08,5.1,-1.5,1.95,1.5,1.75,2.5,2.35,1.53,105.0
213,14,Kostin (NFC) Chelsea,Zaporozhets (VEG) Bayern M,,,,,,,,,,,,,,
214,15,Arsenal L (FEARGGWP),Tottenham (Flewless_ph.),3.05,2.15,3.5,1.25,1.62,1.33,0.0,1.75,0.0,1.95,0.5,1.45,2.55,60.0
215,16,SS LAZIO (OOLANCER),Atalanta (Quavo),1.87,3.5,3.8,1.22,1.25,1.83,-1.5,3.3,1.5,1.28,2.5,2.05,1.68,84.0
216,17,Juventus (Kiser),Napoli (Unknown),2.7,3.3,2.45,1.48,1.3,1.4,-1.5,4.7,1.5,1.15,3.5,2.1,1.65,
217,18,Fiorentina (Skripp),SASSUOLO (SPURSMAX),1.2,6.0,12.0,,1.09,4.05,-1.5,1.7,1.5,2.02,3.5,1.92,1.78,33.0
218,19,PARMA CALCIO 1913 (FLESHKA77),Udinese (Supernova),27.0,14.0,1.04,8.5,,,3.5,1.5,-3.5,2.4,5.5,1.85,1.85,47.0
219,20,AlmazsFrends,Kosmos Saint Petersburg,1.5,4.9,4.8,1.15,1.14,2.4,-1.5,1.8,1.5,1.9,6.5,1.97,1.73,117.0
220,21,Florida Panthers (aa0912200),Les Canadiens de Montréal (fine_oxtail3),,,,,,,4.5,1.62,-4.5,2.15,6.5,1.98,1.72,60.0
221,22,Montreal Can. (Aphex),New Jersey Devils(Zazabak),7.6,7.6,1.22,3.85,1.05,1.05,2.5,1.93,-2.5,1.77,6.5,2.0,1.72,105.0
222,23,Colorado Avalan. (JoKeR),Chicago Blackh. (JET),1.27,6.8,6.9,1.07,1.07,3.4,-2.5,2.08,2.5,1.65,5.5,1.8,1.9,107.0
223,24,Pho Suns,Okc Thunder,1.7,,2.15,,,,-2.5,1.93,2.5,1.87,225.5,1.9,1.9,24.0
224,25,Milan (ZOD),Olympiacos (Fosters23),,,,,,,19.5,1.92,-19.5,1.78,94.5,1.85,1.85,6.0
225,26,Vivacom,Arrrows,,,,,,,-32.5,1.85,32.5,1.85,193.5,1.87,1.83,6.0
226,27,Toronto Raptors (Sleepy),Philadelphia 76(SLAMDUNKVV,1.6,,2.2,,,,-2.5,1.8,2.5,1.9,97.5,1.8,1.9,6.0
227,28,Boston Celtics (Shiva),Portland Tr.Bl. (Spenish),2.5,,1.47,,,,4.5,1.8,-4.5,1.9,104.5,1.9,1.8,6.0
228,29,Miami Heat (Stella),Portland Trail (Jasmine),,,,,,,16.5,1.83,-16.5,1.87,197.5,1.83,1.87,6.0
229,30,San Antonio Spurs (Sphynx),GS Warriors (Potter),,,,,,,11.5,1.9,-11.5,1.8,199.5,1.83,1.87,6.0
230,31,Utah Jazz (Allka),Denver Nuggets (Lily),1.65,,2.1,,,,-1.5,1.78,1.5,1.92,218.5,1.83,1.87,6.0
231,32,Ballerz-terpilka7(белые),Ringers-hatetw (black),3.9,,1.21,,,,3.5,1.73,-3.5,1.98,,,,2.0
232,33,Aramis,Dunaferr DF,1.24,6.5,8.5,1.04,1.08,3.65,-1.5,1.62,1.5,2.15,5.5,2.03,1.7,23.0
233,34,Georgia (JohnneSize),Russia (GenaBukin),1.15,20.0,5.1,,,,-11.5,1.85,11.5,1.85,44.5,1.9,1.8,20.0
234,35,YEAH GAMING,Cloud9,1.91,,1.8,,,,,,,,,,,
