,Player 1,Player 2,1,X,2,O,Total,U,1*,Handicap,2*,O*,IT1,U*,O*,IT2,U*,1*,2*,X*
0,Miami Heat,Toronto Raptors,2.904,11,1.44,1.9,208.5,1.9,5.67,+4.5-,1.77,1.88,101.5,1.88,1.88,106.5,1.88,5.67,1.77,2.75
1,Miami Heat,Toronto Raptors,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Miner 2015,North West-Global Test,1.26,11,4.16,1.95,186.5,1.85,1.43,-7.5+,12.1,1.9,96.5,1.86,1.9,89.5,1.86,1.43,12.1,3.2
3,Pacers,Warriors,1.13,13,6.6,1.86,54.5,1.94,-,-9.5+,-,1.84,31.5,1.86,1.84,22.5,1.86,-,-,-
4,Grizzly (Black),Sharks (Blue),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,Internazionale Milano,Getafe,1.77,3.42,5.4,1.18,1.35,2.12,1.784,2,2.08,2.41,-1+,1.595,1.73,1.5,2.1,1.73,0.5,2.1
1,Lautaro Martinez,Jaime Mata Arnaiz,3.52,1.712,5.7,1.168,2.21,1.33,1.9,0.5,1.94,1.608,0,2.384,3.64,0.5,1.29,3.64,0.5,1.29
2,Manchester United,LASK Linz,1.352,5.1,9.2,1.085,1.192,3.34,1.88,3,1.96,2.195,-1.5+,1.704,1.57,2,2.41,1.57,0.5,2.41
3,Cittadella,Frosinone Calcio,2.75,2.88,2.88,1.41,1.41,1.445,1.848,2,2,1.92,0,1.92,1.95,1,1.81,1.95,1,1.81
4,NK Istra 1961,Orijent,1.82,2.91,6.07,1.125,1.405,1.97,1.91,1.5,1.93,2.95,-1+,1.42,2.31,1,1.58,2.31,0.5,1.58
5,Al-Hussein,Al-Sareeh,1.34,4.03,13.1,1.01,1.225,3.1,1.7,1.5,2.15,2.27,-1+,1.64,2.56,1.5,1.48,2.56,0.5,1.48
6,Moghreb Tetouan,Raja Casablanca,3.48,2.98,2.24,1.61,1.37,1.285,2.256,2,1.64,2.37,0,1.59,2.04,0.5,1.74,2.04,1,1.74
7,Vojvodina Novi Sad,Cukaricki,2.17,3.21,3.36,1.3,1.325,1.65,2.08,2.5,1.75,1.57,0,2.41,2.04,1.5,1.75,2.04,1,1.75
8,Murici,Agremiacao Sportiva Arapiraquense,2.84,3.2,2.47,1.51,1.325,1.4,1.83,2,1.975,2.06,0,1.76,1.82,1,1.94,1.82,1,1.94
9,Concordia AC,Tubarao,1.03,15,29,-,-,9.98,2.24,3.5,1.65,2.37,-2.5+,1.59,2.21,2.5,1.64,2.21,0.5,1.64
10,Tombense,Associacao Atletica Caldense,2.41,3.01,3.11,1.344,1.365,1.536,1.97,1.5,1.832,1.66,0,2.22,1.75,1,2.03,1.75,0.5,2.03
11,Aguia de Maraba,Bragantino clube Do Para,15,8.08,1.14,5.27,1.06,-,2.256,3,1.64,2.21,+1.5-,1.67,2.22,0.5,1.63,2.22,2.5,1.63
12,Decisao,AAD Vitoria das Tabocas,5.7,3.72,1.6,2.26,1.256,1.125,1.81,2.5,2,1.78,+1-,2.03,1.69,0.5,2.12,1.69,1.5,2.12
13,Sport Club do Recife,Petrolina Social Futebol Clube,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Crumlin United,Cherry Orchard,1.76,3.27,5.1,1.15,1.315,2.005,2.152,4,1.7,2.54,-1+,1.52,1.94,2,1.83,1.94,1.5,1.83
15,Bluebell United,Newbridge Town,1.15,7.47,15.1,-,1.075,5.02,2.08,3,1.75,2,-2+,1.81,2.38,2.5,1.55,2.38,0.5,1.55
16,Ballymun,Killester Donnycarney,4.57,3.3,1.83,1.925,1.31,1.18,2.152,2,1.7,1.52,+1-,2.54,1.59,0.5,2.29,1.59,1,2.29
17,Maynooth University Town,Malahide United,2.23,2.79,3.8,1.248,1.41,1.616,2.01,1.5,1.8,1.52,0,2.54,2.03,0.5,1.75,2.03,0.5,1.75
18,Portlaoise,Drumcondra,2.34,4.4,2.41,1.536,1.192,1.565,1.79,4,2.025,1.85,0,1.95,1.93,2,1.83,1.93,2,1.83
