,Unnamed: 0,Player 1,Player 2,1,X,2,O,Total,U,1*,Handicap,2*,O*,IT1,U*,O*.1,IT2,U*.1,1*.1,2*.1,X*
133,0,Wolverhampton Wanderers,Sevilla,3.94,3.14,2.13,1.77,1.4,1.28,2.016,2,1.83,2.56,0,1.536,1.65,0.5,2.25,1.65,1,2.25
134,1,Shakhtar Donetsk,Basel,1.87,3.84,4.02,1.275,1.295,1.992,2.2,3,1.704,1.504,0,2.65,1.65,1.5,2.25,1.65,1,2.25
135,2,Rubin,Lokomotiv Moscow,-,-,-,-,-,-,4.76,2.5,1.2,3.015,+2-,1.41,5.47,-,1.15,5.47,2.5,1.15
136,3,Dundee United,Hibernian,451,11,1.05,10.9,1.064,-,6,1.5,1.14,2.125,+1-,1.75,7.01,-,1.1,7.01,1.5,1.1
137,4,Dundalk,Waterford,1.53,3.82,7.03,1.096,1.26,2.48,2.096,2.5,1.77,-,-,-,1.84,-,1.93,1.84,0.5,1.93
138,5,Cork City,Longford Town,2.22,3.29,3.29,1.33,1.33,1.65,1.92,2,1.92,1.6,0,2.39,1.55,1,2.39,1.55,0.5,2.39
139,6,Beitar Jerusalem,Hapoel Tel Aviv,1.86,2.44,8.13,1.06,1.52,1.888,1.72,1,2.12,3.13,-1+,1.36,3.51,1,1.28,3.51,0.5,1.28
140,7,Halmstads,Osters,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
141,8,US Monastir,Hammam-Lif,1.1,9.1,25,-,1.06,6.73,2.205,4.5,1.7,1.82,-1.5+,2.03,3.03,3,1.36,3.03,1.5,1.36
142,9,SV Hall,Worgl,420,10.9,1.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
143,10,Telfs,Kitzbuhel,2.41,2.88,3.26,1.315,1.39,1.536,1.81,1.5,2,1.67,0,2.21,1.69,1,2.12,1.69,0.5,2.12
144,11,KI Klaksvik,IF Fuglafjordur,-,-,-,-,-,-,1.832,6.5,1.97,1.98,-6+,1.83,3.17,6.5,1.34,3.17,0.5,1.34
145,12,KFUM,Lillestrom,197,8.83,1.05,-,-,-,3.96,3.5,1.25,2.07,+1-,1.75,-,-,-,-,-,-
146,13,MSK Zilina,Nitra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
147,14,Slovan Bratislava,Zemplin,1.04,13,29,-,1.045,9.34,1.91,3,1.93,2.18,-2.5+,1.715,3.06,2.5,1.38,3.06,0.5,1.38
148,15,Juventus+,Real+,2.09,7.29,2.145,1.625,1.06,1.66,2.045,10.5,1.775,1.875,0,1.925,2.21,5.5,1.56,2.21,5.5,1.56
149,16,Milan (4х4),Tottenham (4х4),2.42,3.14,2.86,1.368,1.31,1.496,1.896,8,1.904,1.75,0,2.075,2.205,4,1.67,2.205,4,1.67
150,17,Eintracht (Amateur),RB Leipzig (Amateur),5.62,4.52,1.464,2.504,1.16,1.105,1.925,7.5,1.875,1.9,+1-,1.9,1.608,3,2.325,1.608,4,2.325
151,18,Shakery,Skaligery,1.25,8.48,6.17,1.088,1.035,3.57,1.464,8,2.432,1.805,-2+,2.005,1.715,5.5,2.13,1.715,3,2.13
152,19,BIZ,CHEMIST,-,10,17,-,-,10,1.71,8.5,2.14,1.915,-3+,1.885,2.27,6,1.62,2.27,3,1.62
153,20,Ukraine (3х3),Belarus (3х3),17,10,-,10,-,-,1.705,19,2.065,1.83,+4-,1.91,1.896,7.5,1.845,1.896,11.5,1.845
