0,Lyon,Dijon FCO,1.26,6.1,11.5,1.056,1.15,4.07,1.97,3,1.87,1.82,-1.5+,2.03,2.15,2.5,1.7,1.9,0.5,1.9,,,,
1,Granada,Real Valladolid,-,-,-,-,-,-,-,-,-,1.73,+3-,2.11,-,-,-,-,-,-,,,,
2,Sterkrade 72,Buschhausen,-,-,-,-,-,-,-,7.5,2.33,1.8,-4.5+,2.01,2.42,6.5,1.54,1.99,1.5,1.78,,,,
3,1. Germania Egestorf,Schwachhausen,1.12,8.22,17.9,-,1.06,5.67,1.765,2.5,2.06,2.17,-2+,1.69,2.31,2.5,1.59,2.48,0.5,1.51,,,,
4,Villarreal,Valencia,1.26,5.51,10.4,1.03,1.13,3.63,2.105,2.5,1.73,2.16,-1.5+,1.7,2.14,2,1.67,2.09,0.5,1.71,,,,
5,Kevelaer II,TUS Borth,1.04,14.5,23,-,1.005,9.03,1.89,5.5,1.91,1.9,-3+,1.9,1.86,4.5,1.9,2.5,1.5,1.51,,,,
6,Penistone Church,Brighouse Town,2.23,4.29,2.58,1.475,1.2,1.62,2.08,3,1.75,1.78,0,2.03,1.81,1.5,1.95,1.95,1.5,1.81,,,,
7,Trafford,Matlock Town,3.02,3.77,2.11,1.688,1.25,1.36,1.736,2.5,2.1,2.24,0,1.65,1.64,1,2.2,-,-,-,,,,
8,Mosta,Zejtun Corinthians,2.11,3.77,3.02,1.36,1.25,1.688,1.81,2.5,2,1.65,0,2.24,2.09,1.5,1.71,1.62,1,2.24,,,,
9,Rushden & Diamonds,Bedford Town,1.57,4.43,4.86,1.165,1.19,2.325,1.72,3,2.048,1.93,-1+,1.88,1.84,2,1.93,1.85,1,1.91,,,,
10,Bangor,Ards,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
11,Warrington Town,City of Liverpool,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
12,Coalville Town,Mickleover Sports,1.71,4.11,4.11,1.216,1.216,2.07,1.736,3,2.1,2.22,-1+,1.66,2.01,2,1.77,1.65,1,2.18,,,,
13,Leek Town,Congleton Town,1.24,6.82,8.39,1.056,1.09,3.79,1.97,4.5,1.832,1.98,-2+,1.83,2.03,3.5,1.75,1.6,1,2.29,,,,
14,Herning Blue Fox,Frederikshavn White Hawks,4.43,1.66,4.13,1.216,2.15,1.19,1.92,4.5,1.88,1.95,0,1.85,2.9,2.5,1.38,,,,-,-,-,
15,Geneve-Servette,EHC Visp,-,-,-,-,-,-,1.61,3,2.17,1.75,-2.5+,2.08,2.19,3,1.61,,,,-,-,-,
16,Rodovre Mighty Bulls,Esbjerg,3.14,2.48,2.88,1.39,1.51,1.34,1.85,7.5,1.95,1.97,0,1.83,1.79,3.5,1.96,,,,-,-,-,
17,Ambri-Piotta,Davos,62,11.9,1.03,8.5,-,-,2.34,3.5,1.6,1.7,+2.5-,2.16,2.02,0.5,1.7,,,,-,-,-,
18,Lausanne,Ajoie,2.47,4.44,2.27,1.595,1.19,1.51,2.05,5.5,1.77,1.95,0,1.85,1.83,2.5,1.93,,,,-,-,-,
19,Winterthur,EHC Basel,1.12,8.58,16.7,-,1.04,5.55,1.85,5.5,1.95,1.73,-2.5+,2.11,1.7,4,2.04,,,,-,-,-,
20,SKA Saint Petersburg,Avangard Omsk,-,-,-,-,-,-,2.755,4.5,1.45,-,-,-,-,-,-,,,,-,-,-,
21,Oostende,Anderlecht,4.4,4.4,1.7,2.23,1.24,1.24,1.864,3,1.98,1.65,+1-,2.29,1.71,1,2.14,2.06,2,1.76,,,,
22,Stal Mielec,Gornik Zabrze,2.87,3.24,2.49,1.525,1.34,1.415,1.864,2,1.98,2.05,0,1.8,2.01,1,1.77,1.85,1,1.91,,,,
23,Stefanos Tsitsipas(4),Milos Raonic,23,-,-,,,,20,-,-,20,-,-,20,-,-,20,-,-,,-,-,-
24,Murray/Skupski,Ram/Salisbury(3),2.06,-,1.8,,,,1.975,20.5,1.864,1.92,+0.5-,1.92,1.88,10.5,1.88,1.94,11.5,1.83,,-,-,-
25,Dnepr-Mogilev,Isloch,102,14.2,1.01,-,-,-,6.27,3.5,1.1,-,-,-,-,-,-,-,-,-,,,,
26,Hradecka/Klepac(7),Peschke/Schuurs(3),-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-
27,Kuzmova/Swiatek,Melichar/Xu(2),2.27,-,1.66,,,,1.92,19.5,1.92,1.864,+1.5-,1.975,1.75,9.5,2.03,1.94,11.5,1.83,,-,-,-
28,Sturm Graz,SV Innsbruck,-,-,-,-,-,-,1.87,8.5,1.93,1.83,-8+,1.98,1.87,8.5,1.89,-,-,-,,,,
29,First Vienna,Mannsdorf,-,-,-,-,-,-,6.23,4.5,1.1,-,-,-,-,-,-,-,-,-,,,,
30,Kapfenberger,ANIF,-,-,-,-,-,-,2.08,7.5,1.75,1.98,-4.5+,1.83,2.18,6,1.65,2.43,1.5,1.53,,,,
31,HNK Gorica,Šibenik,1.11,8.31,27,-,1.07,6.38,1.848,2.5,2,1.65,-1.5+,2.29,1.59,2,2.29,2.51,0.5,1.5,,,,
32,AEL Limassol,Nea Salamis,2.3,2.29,5.03,1.152,1.585,1.58,1.685,3,2.18,1.43,0,2.82,1.72,1.5,2.07,2.41,1.5,1.54,,,,
33,Diosgyori,MTK Budapest,1.6,3.75,5.65,1.125,1.25,2.26,1.7,2.5,2.15,2.32,-1+,1.61,1.7,1.5,2.1,2.17,1,1.66,,,,
34,Ungmennafelag Njarðvíkur,Kordrengir,1.47,4.06,7.1,1.08,1.22,2.59,1.89,2.5,1.91,1.93,-1+,1.88,1.71,1.5,2.09,1.71,0.5,2.09,,,,
35,ACS UTA Batrana Doamna,Voluntari,2.99,2.49,3.09,1.365,1.525,1.384,2.22,1.5,1.69,1.87,0,1.97,1.78,0.5,2,1.83,0.5,1.94,,,,
36,Lisa Ponomar,Kathleen Kanev,1.9,-,1.9,,,,1.88,27,1.92,1.9,-1.5+,1.9,1.81,13.5,1.89,2.07,13.5,1.67,,-,-,-
37,Weinland Gamlitz,Gady Raika Lebring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
38,Athlone Town,Wexford Youths,2.82,3.69,2.31,1.605,1.275,1.425,1.97,3,1.875,2.144,0,1.736,2.12,1.5,1.69,1.88,1.5,1.88,,,,
