0,Spartak Moscow,Arsenal Tula,1.595,4.04,5.95,1.155,1.275,2.44,2.04,2.5,1.81,1.97,-1+,1.87,1.76,1.5,2.06,1.66,0.5,2.22,,,
1,Stade Rennais,Montpellier HSC,1.88,3.42,4.58,1.225,1.35,1.984,1.725,2,2.168,2.675,-1+,1.496,2.08,1.5,1.75,1.6,0.5,2.33,,,
2,Livingston,Ross County,2.432,2.352,4.84,1.21,1.64,1.605,1.688,1,2.225,1.456,0,2.816,1.66,0.5,2.22,2.34,0.5,1.6,,,
3,St. Johnstone,St. Mirren,1.95,2.416,8.7,1.09,1.61,1.91,1.816,1,2.035,3.44,-1+,1.33,2.16,1,1.69,3.53,0.5,1.3,,,
4,Kilmarnock,Dundee United,1.085,10,26,1.01,1.075,7.47,2.15,3.5,1.735,2.125,-2+,1.75,1.81,2.5,2,1.67,0.5,2.21,,,
5,K.A.S. Eupen,Sint-Truidense,1.69,3.48,6.1,1.15,1.34,2.245,1.59,2,2.42,2.975,-1+,1.416,2.24,1.5,1.65,1.59,0.5,2.36,,,
6,Seinajoen Jalkapallokerho,RoPS,1.12,6.98,29,-,1.085,5.66,2.05,2.5,1.77,1.85,-1.5+,1.95,1.94,2,1.82,2.45,0.5,1.52,,,
7,Voetbal Vereniging Ons Genoegen,RKVV DEM,101,13,1.04,-,-,-,6.3,1.5,1.13,2.344,+1-,1.625,-,-,-,-,-,-,,,
8,DUNO,Uitspanning Na Arbeid Brinvast,12,6.7,1.23,4.42,1.13,1.05,1.736,4,2.15,1.76,+2-,2.11,1.74,1,2.09,1.94,3,1.86,,,
9,TSG 1899 Hoffenheim,1. FSV Mainz 05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
10,Wormatia Worms,TSG 1862 Weinheim,-,-,-,-,-,-,1.64,8.5,2.26,2.03,-6.5+,1.78,1.82,7.5,1.95,6.77,1.5,1.09,,,
11,SV Drochtersen-Assel,HSC Hannover,1.02,16.9,34,-,-,11.3,2.34,3,1.6,1.61,-2+,2.32,2.15,2.5,1.67,2.69,0.5,1.45,,,
12,Basford United,Alfreton Town,11.3,5.64,1.24,3.79,1.125,1.025,2.136,3,1.71,1.85,+1.5-,1.95,1.82,0.5,1.95,1.68,2,2.14,,,
13,Burgess Hill Town,Cray Wanderers,1.96,3.41,3.76,1.25,1.296,1.795,2.09,3,1.74,1.46,0,2.7,1.87,1.5,1.89,1.61,1,2.26,,,
14,Gosport Borough,Hampton & Richmond Borough,10.5,5.67,1.25,3.71,1.125,1.03,1.89,2.5,1.91,1.72,+1.5-,2.12,1.9,0.5,1.86,2.18,2,1.65,,,
15,SV Turkgucu Ataspor,Nurnberg,25,12.1,1.05,8.3,1.02,-,1.985,3.5,1.82,2.32,+2-,1.61,1.88,0.5,1.88,1.59,2.5,2.29,,,
16,Phoenix Sports,Basildon United,5.9,3.5,1.63,2.205,1.28,1.115,1.965,2.5,1.84,1.49,+1-,2.62,2.3,1,1.59,1.96,1.5,1.81,,,
17,Brighton & Hove Albion,Chelsea,14,6.6,1.22,4.58,1.136,1.04,1.9,2.5,1.94,1.82,+1.5-,2.03,1.89,0.5,1.91,1.95,2,1.85,,,
18,Tottenham Hotspur,Birmingham City,1.7,2.86,9.5,1.08,1.46,2.225,2.344,1.5,1.625,2.455,-1+,1.575,1.86,1,1.95,3.28,0.5,1.34,,,
