0,Ural,Lokomotiv Moscow,5.2,3.6,1.744,2.16,1.32,1.19,2.168,2.5,1.725,1.605,+1-,2.39,1.57,0.5,2.41,1.83,1.5,1.98,,,,,
1,Ufa,Spartak Moscow,2.096,3.56,3.5,1.336,1.325,1.79,1.94,3,1.9,1.456,0,2.816,1.73,1.5,2.1,2.26,1.5,1.64,,,,,
2,Alexander Sobolev,Jordan Larsson,3.84,1.82,3.84,1.24,1.93,1.24,1.65,0.5,2.19,1.9,0,1.9,2.64,0.5,1.46,2.64,0.5,1.46,,,,,
3,Shanghai Shenhua,Guangzhou R&F,9.8,6.4,1.275,3.94,1.14,1.075,2.15,6,1.735,1.92,+1.5-,1.92,2.37,2.5,1.59,1.77,3.5,2.04,,,,,
4,KIA Tigers,LG Twins,-,-,-,-,-,-,3.33,11.5,1.33,-,-,-,-,-,-,-,-,-,,,,,
5,Hanwha Eagles,SK Wyverns,-,-,-,-,-,-,3.47,32.5,1.31,3.91,+19.5-,1.25,-,-,-,-,-,-,,,,,
6,Henri Laaksonen(7),Yannick Maden(10),2.55,-,1.51,,,,1.95,26.5,1.85,1.9,+3.5-,1.9,1.91,12.5,1.8,2.19,13.5,1.6,-,-,-,,
7,Jiri Lehecka,Sumit Nagal(6),1.39,-,2.99,,,,1.77,32.5,2.05,1.38,-2.5+,3.04,1.91,16.5,1.8,1.87,15.5,1.83,-,-,-,,
8,Elias Ymer,Tomas Machac,2.55,-,1.51,,,,1.9,26.5,1.9,1.9,+2.5-,1.9,1.8,12.5,1.91,1.57,12.5,2.25,-,-,-,,
9,Daniel Altmaier,Gian Marco Moroni,1.31,-,3.43,,,,1.96,22.5,1.85,1.96,-4.5+,1.85,1.72,12.5,2,1.91,9.5,1.8,-,-,-,,
10,Mario Vilella Martinez,Antoine Hoang(6),1.51,-,2.55,,,,2.05,28.5,1.77,2.08,-1.5+,1.75,2.03,14.5,1.7,1.9,14.5,1.8,-,-,-,,
11,Ermak Angarsk,Sokol Krasnoyarsk,-,-,-,-,-,-,1.64,6.5,2.26,1.51,+4.5-,2.57,3.71,1.5,1.26,,,,-,-,,-,
12,Yuzhny Ural,Gornyak Uchaly,3.17,3.36,2.19,1.64,1.3,1.33,1.81,4.5,2,2.29,0,1.63,1.69,2,2.04,,,,-,-,,-,
13,Metallurg Novokuznetsk,Tambov,-,-,-,-,-,-,2.12,4.5,1.72,2.98,-4.5+,1.39,2.59,4.5,1.48,,,,-,-,,-,
14,Shakhter Karagandy,Kaysar,3.45,1.94,3.8,1.248,1.816,1.29,1.61,0.5,2.26,1.78,0,2.03,2.3,0.5,1.59,2.48,0.5,1.52,,,,,
15,Vladyslav Orlov,Stefan Palosi,1.43,-,2.82,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
16,Filip Cristian Jianu,Marvin Moeller,1.47,-,2.68,,,,1.9,21.5,1.9,1.97,-4+,1.84,2.09,12.5,1.66,1.85,10.5,1.85,-,-,-,,
17,Ergi Kirkin,Buvaysar Gadamauri,1.43,-,2.82,,,,1.85,21.5,1.95,1.8,-3.5+,2.01,1.96,12.5,1.75,1.79,11.5,1.92,-,-,-,,
18,Lina Glushko,Adva Dabah,-,-,-,,,,2.22,14.5,1.66,1.87,-9.5+,1.93,-,-,-,2.16,2.5,1.62,-,-,-,,
19,Tamara Barad Itzhaki,Koral Koldobski,1.01,-,15.2,,,,1.89,16,1.91,1.89,-8+,1.91,3.26,12.5,1.29,2.19,4.5,1.6,-,-,-,,
20,Diamant (Women),Sirene (Women),4.71,-,1.19,,,,1.95,194.5,1.85,2.21,+4.5-,1.67,1.95,95.5,1.85,2,99.5,1.81,-,-,-,,
21,Fukuoka SoftBank Hawks,Chiba Lotte Marines,-,-,-,-,-,-,3.45,4.5,1.33,-,-,-,-,-,-,2.71,2.5,1.44,,,,,
22,1. FSV Mainz 05 II,Schweinfurt,18.5,8.73,1.11,5.96,1.05,-,1.85,3.5,1.95,1.95,+2-,1.85,1.73,0.5,2.06,1.68,2.5,2.14,,,,,
23,Basak Eraydin,Lisa Ponomar,1.21,-,4.38,,,,1.89,31,1.91,1.81,-2.5+,2,1.09,16.5,6.19,1.95,14.5,1.76,-,-,-,,
24,Southwest Famous Car,Guizhou Tongkang Law Firm,5.26,11,1.17,,,,1.9,89.5,1.84,1.82,+11.5-,1.92,1.9,39.5,1.82,1.87,50.5,1.85,-,-,,,-
25,Sistema,Volna,1.57,-,2.38,,,,1.89,188.5,1.89,1.97,-12.5+,1.82,-,-,-,-,-,-,-,-,-,,
26,Ruslan Mugtasimov,Alexey Dubinin,6.7,-,1.08,,,,2,34.5,1.75,1.96,+5.5-,1.77,-,-,-,-,-,-,-,-,-,,
27,Ivan Grishunin,Vitaliy Shumakov,3.232,-,1.31,,,,1.864,111.5,1.875,1.84,+6.5-,1.9,1.88,56.5,1.86,1.816,58.5,1.925,-,-,-,,
28,Ruslan Alchimbaev,Sergey Yacenko,1.14,-,5.05,,,,1.925,107.5,1.82,1.944,-4.5+,1.8,1.74,55.5,2.02,1.816,51.5,1.93,-,-,-,,
29,Tokyo+,Beijing+,2.43,4.49,2.235,-,-,-,1.568,3.5,2.2,1.19,+1.5-,3.72,2.54,2.5,1.43,2.37,2.5,1.49,,,,,
30,Dinamo Minsk Team,Jokerit Team,2.025,6.33,2.33,1.536,1.085,1.7,1.845,7.5,1.955,1.775,0,2.045,2.07,4,1.755,,,,-,-,,-,
31,Argentina (4х4),Russia (4х4),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
32,Italy (4х4),Belgium (4х4),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
33,Pistons,Pelicans,1.992,9.28,1.99,,,,1.83,58.5,1.97,1.72,+1.5-,2.11,1.87,29.5,1.83,1.87,29.5,1.83,-,-,,,-
34,Titan,Grandmaster,-,-,-,-,-,-,1.775,7.5,2.048,-,-,-,2.03,4.5,1.784,,,,-,-,,-,
35,Ural City (Women),Ural Stars (Women),2.965,-,1.4,,,,1.9,184.5,1.9,1.925,+5.5-,1.875,1.896,94.5,1.904,1.84,94.5,1.96,-,-,-,,
36,Andrey Shemyakin,Alexander Pekhterev,2.2,-,1.64,,,,1.9,77.5,1.84,-,-,-,-,-,-,-,-,-,-,-,-,,
37,Dynamo Dresden (Amateur),Wolfsburg (Amateur),2.205,5.74,2.205,1.59,1.09,1.565,1.995,6.5,1.81,1.9,0,1.9,1.792,3,2.02,1.792,3,2.02,,,,,
